Page,Date,Views,Page_Name,Project,Access,Agent,Year,Month,DayOfWeek,DayOfWeekName,Quarter,WeekOfYear
A'N'D_zh.wikipedia.org_all-access_spider,2015-07-02,26.0,A'N'D,zh.wikipedia.org,all-access,spider,2015,7,3,Thursday,3,27
AKB48_zh.wikipedia.org_all-access_spider,2015-07-02,23.0,AKB48,zh.wikipedia.org,all-access,spider,2015,7,3,Thursday,3,27
2NE1_zh.wikipedia.org_all-access_spider,2015-07-03,5.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,4,Friday,3,27
2PM_zh.wikipedia.org_all-access_spider,2015-07-03,15.0,2PM,zh.wikipedia.org,all-access,spider,2015,7,4,Friday,3,27
3C_zh.wikipedia.org_all-access_spider,2015-07-03,1.0,3C,zh.wikipedia.org,all-access,spider,2015,7,4,Friday,3,27
4minute_zh.wikipedia.org_all-access_spider,2015-07-03,10.0,4minute,zh.wikipedia.org,all-access,spider,2015,7,4,Friday,3,27
52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,2015-07-03,,52_Hz_I_Love_You,zh.wikipedia.org,all-access,spider,2015,7,4,Friday,3,27
5566_zh.wikipedia.org_all-access_spider,2015-07-03,4.0,5566,zh.wikipedia.org,all-access,spider,2015,7,4,Friday,3,27
91Days_zh.wikipedia.org_all-access_spider,2015-07-03,,91Days,zh.wikipedia.org,all-access,spider,2015,7,4,Friday,3,27
A'N'D_zh.wikipedia.org_all-access_spider,2015-07-03,30.0,A'N'D,zh.wikipedia.org,all-access,spider,2015,7,4,Friday,3,27
AKB48_zh.wikipedia.org_all-access_spider,2015-07-03,14.0,AKB48,zh.wikipedia.org,all-access,spider,2015,7,4,Friday,3,27
2NE1_zh.wikipedia.org_all-access_spider,2015-07-04,13.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,5,Saturday,3,27
2PM_zh.wikipedia.org_all-access_spider,2015-07-04,18.0,2PM,zh.wikipedia.org,all-access,spider,2015,7,5,Saturday,3,27
3C_zh.wikipedia.org_all-access_spider,2015-07-04,1.0,3C,zh.wikipedia.org,all-access,spider,2015,7,5,Saturday,3,27
4minute_zh.wikipedia.org_all-access_spider,2015-07-04,94.0,4minute,zh.wikipedia.org,all-access,spider,2015,7,5,Saturday,3,27
52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,2015-07-04,,52_Hz_I_Love_You,zh.wikipedia.org,all-access,spider,2015,7,5,Saturday,3,27
5566_zh.wikipedia.org_all-access_spider,2015-07-04,5.0,5566,zh.wikipedia.org,all-access,spider,2015,7,5,Saturday,3,27
91Days_zh.wikipedia.org_all-access_spider,2015-07-04,,91Days,zh.wikipedia.org,all-access,spider,2015,7,5,Saturday,3,27
A'N'D_zh.wikipedia.org_all-access_spider,2015-07-04,24.0,A'N'D,zh.wikipedia.org,all-access,spider,2015,7,5,Saturday,3,27
AKB48_zh.wikipedia.org_all-access_spider,2015-07-04,12.0,AKB48,zh.wikipedia.org,all-access,spider,2015,7,5,Saturday,3,27
2NE1_zh.wikipedia.org_all-access_spider,2015-07-05,14.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,6,Sunday,3,27
2PM_zh.wikipedia.org_all-access_spider,2015-07-05,11.0,2PM,zh.wikipedia.org,all-access,spider,2015,7,6,Sunday,3,27
3C_zh.wikipedia.org_all-access_spider,2015-07-05,0.0,3C,zh.wikipedia.org,all-access,spider,2015,7,6,Sunday,3,27
4minute_zh.wikipedia.org_all-access_spider,2015-07-05,4.0,4minute,zh.wikipedia.org,all-access,spider,2015,7,6,Sunday,3,27
52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,2015-07-05,,52_Hz_I_Love_You,zh.wikipedia.org,all-access,spider,2015,7,6,Sunday,3,27
5566_zh.wikipedia.org_all-access_spider,2015-07-05,20.0,5566,zh.wikipedia.org,all-access,spider,2015,7,6,Sunday,3,27
91Days_zh.wikipedia.org_all-access_spider,2015-07-05,,91Days,zh.wikipedia.org,all-access,spider,2015,7,6,Sunday,3,27
A'N'D_zh.wikipedia.org_all-access_spider,2015-07-05,29.0,A'N'D,zh.wikipedia.org,all-access,spider,2015,7,6,Sunday,3,27
AKB48_zh.wikipedia.org_all-access_spider,2015-07-05,9.0,AKB48,zh.wikipedia.org,all-access,spider,2015,7,6,Sunday,3,27
2NE1_zh.wikipedia.org_all-access_spider,2015-07-06,9.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,0,Monday,3,28
2PM_zh.wikipedia.org_all-access_spider,2015-07-06,13.0,2PM,zh.wikipedia.org,all-access,spider,2015,7,0,Monday,3,28
3C_zh.wikipedia.org_all-access_spider,2015-07-06,4.0,3C,zh.wikipedia.org,all-access,spider,2015,7,0,Monday,3,28
4minute_zh.wikipedia.org_all-access_spider,2015-07-06,26.0,4minute,zh.wikipedia.org,all-access,spider,2015,7,0,Monday,3,28
52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,2015-07-06,,52_Hz_I_Love_You,zh.wikipedia.org,all-access,spider,2015,7,0,Monday,3,28
5566_zh.wikipedia.org_all-access_spider,2015-07-06,8.0,5566,zh.wikipedia.org,all-access,spider,2015,7,0,Monday,3,28
91Days_zh.wikipedia.org_all-access_spider,2015-07-06,,91Days,zh.wikipedia.org,all-access,spider,2015,7,0,Monday,3,28
A'N'D_zh.wikipedia.org_all-access_spider,2015-07-06,127.0,A'N'D,zh.wikipedia.org,all-access,spider,2015,7,0,Monday,3,28
AKB48_zh.wikipedia.org_all-access_spider,2015-07-06,9.0,AKB48,zh.wikipedia.org,all-access,spider,2015,7,0,Monday,3,28
2NE1_zh.wikipedia.org_all-access_spider,2015-07-07,9.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,1,Tuesday,3,28
2PM_zh.wikipedia.org_all-access_spider,2015-07-07,22.0,2PM,zh.wikipedia.org,all-access,spider,2015,7,1,Tuesday,3,28
3C_zh.wikipedia.org_all-access_spider,2015-07-07,0.0,3C,zh.wikipedia.org,all-access,spider,2015,7,1,Tuesday,3,28
4minute_zh.wikipedia.org_all-access_spider,2015-07-07,14.0,4minute,zh.wikipedia.org,all-access,spider,2015,7,1,Tuesday,3,28
52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,2015-07-07,,52_Hz_I_Love_You,zh.wikipedia.org,all-access,spider,2015,7,1,Tuesday,3,28
5566_zh.wikipedia.org_all-access_spider,2015-07-07,5.0,5566,zh.wikipedia.org,all-access,spider,2015,7,1,Tuesday,3,28
91Days_zh.wikipedia.org_all-access_spider,2015-07-07,,91Days,zh.wikipedia.org,all-access,spider,2015,7,1,Tuesday,3,28
A'N'D_zh.wikipedia.org_all-access_spider,2015-07-07,53.0,A'N'D,zh.wikipedia.org,all-access,spider,2015,7,1,Tuesday,3,28
AKB48_zh.wikipedia.org_all-access_spider,2015-07-07,35.0,AKB48,zh.wikipedia.org,all-access,spider,2015,7,1,Tuesday,3,28
2NE1_zh.wikipedia.org_all-access_spider,2015-07-08,22.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,28
2PM_zh.wikipedia.org_all-access_spider,2015-07-08,11.0,2PM,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,28
3C_zh.wikipedia.org_all-access_spider,2015-07-08,3.0,3C,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,28
4minute_zh.wikipedia.org_all-access_spider,2015-07-08,9.0,4minute,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,28
52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,2015-07-08,,52_Hz_I_Love_You,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,28
5566_zh.wikipedia.org_all-access_spider,2015-07-08,17.0,5566,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,28
91Days_zh.wikipedia.org_all-access_spider,2015-07-08,,91Days,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,28
A'N'D_zh.wikipedia.org_all-access_spider,2015-07-08,37.0,A'N'D,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,28
AKB48_zh.wikipedia.org_all-access_spider,2015-07-08,15.0,AKB48,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,28
2NE1_zh.wikipedia.org_all-access_spider,2015-07-09,26.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,3,Thursday,3,28
2PM_zh.wikipedia.org_all-access_spider,2015-07-09,10.0,2PM,zh.wikipedia.org,all-access,spider,2015,7,3,Thursday,3,28
3C_zh.wikipedia.org_all-access_spider,2015-07-09,4.0,3C,zh.wikipedia.org,all-access,spider,2015,7,3,Thursday,3,28
4minute_zh.wikipedia.org_all-access_spider,2015-07-09,11.0,4minute,zh.wikipedia.org,all-access,spider,2015,7,3,Thursday,3,28
52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,2015-07-09,,52_Hz_I_Love_You,zh.wikipedia.org,all-access,spider,2015,7,3,Thursday,3,28
5566_zh.wikipedia.org_all-access_spider,2015-07-09,24.0,5566,zh.wikipedia.org,all-access,spider,2015,7,3,Thursday,3,28
91Days_zh.wikipedia.org_all-access_spider,2015-07-09,,91Days,zh.wikipedia.org,all-access,spider,2015,7,3,Thursday,3,28
A'N'D_zh.wikipedia.org_all-access_spider,2015-07-09,20.0,A'N'D,zh.wikipedia.org,all-access,spider,2015,7,3,Thursday,3,28
AKB48_zh.wikipedia.org_all-access_spider,2015-07-09,14.0,AKB48,zh.wikipedia.org,all-access,spider,2015,7,3,Thursday,3,28
2NE1_zh.wikipedia.org_all-access_spider,2015-07-10,24.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,4,Friday,3,28
2PM_zh.wikipedia.org_all-access_spider,2015-07-10,4.0,2PM,zh.wikipedia.org,all-access,spider,2015,7,4,Friday,3,28
3C_zh.wikipedia.org_all-access_spider,2015-07-10,4.0,3C,zh.wikipedia.org,all-access,spider,2015,7,4,Friday,3,28
4minute_zh.wikipedia.org_all-access_spider,2015-07-10,16.0,4minute,zh.wikipedia.org,all-access,spider,2015,7,4,Friday,3,28
52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,2015-07-10,,52_Hz_I_Love_You,zh.wikipedia.org,all-access,spider,2015,7,4,Friday,3,28
5566_zh.wikipedia.org_all-access_spider,2015-07-10,7.0,5566,zh.wikipedia.org,all-access,spider,2015,7,4,Friday,3,28
91Days_zh.wikipedia.org_all-access_spider,2015-07-10,,91Days,zh.wikipedia.org,all-access,spider,2015,7,4,Friday,3,28
A'N'D_zh.wikipedia.org_all-access_spider,2015-07-10,32.0,A'N'D,zh.wikipedia.org,all-access,spider,2015,7,4,Friday,3,28
AKB48_zh.wikipedia.org_all-access_spider,2015-07-10,22.0,AKB48,zh.wikipedia.org,all-access,spider,2015,7,4,Friday,3,28
2NE1_zh.wikipedia.org_all-access_spider,2015-07-11,19.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,5,Saturday,3,28
2PM_zh.wikipedia.org_all-access_spider,2015-07-11,41.0,2PM,zh.wikipedia.org,all-access,spider,2015,7,5,Saturday,3,28
3C_zh.wikipedia.org_all-access_spider,2015-07-11,1.0,3C,zh.wikipedia.org,all-access,spider,2015,7,5,Saturday,3,28
4minute_zh.wikipedia.org_all-access_spider,2015-07-11,16.0,4minute,zh.wikipedia.org,all-access,spider,2015,7,5,Saturday,3,28
52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,2015-07-11,,52_Hz_I_Love_You,zh.wikipedia.org,all-access,spider,2015,7,5,Saturday,3,28
5566_zh.wikipedia.org_all-access_spider,2015-07-11,12.0,5566,zh.wikipedia.org,all-access,spider,2015,7,5,Saturday,3,28
91Days_zh.wikipedia.org_all-access_spider,2015-07-11,,91Days,zh.wikipedia.org,all-access,spider,2015,7,5,Saturday,3,28
A'N'D_zh.wikipedia.org_all-access_spider,2015-07-11,17.0,A'N'D,zh.wikipedia.org,all-access,spider,2015,7,5,Saturday,3,28
AKB48_zh.wikipedia.org_all-access_spider,2015-07-11,8.0,AKB48,zh.wikipedia.org,all-access,spider,2015,7,5,Saturday,3,28
2NE1_zh.wikipedia.org_all-access_spider,2015-07-12,10.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,6,Sunday,3,28
2PM_zh.wikipedia.org_all-access_spider,2015-07-12,65.0,2PM,zh.wikipedia.org,all-access,spider,2015,7,6,Sunday,3,28
3C_zh.wikipedia.org_all-access_spider,2015-07-12,1.0,3C,zh.wikipedia.org,all-access,spider,2015,7,6,Sunday,3,28
4minute_zh.wikipedia.org_all-access_spider,2015-07-12,11.0,4minute,zh.wikipedia.org,all-access,spider,2015,7,6,Sunday,3,28
52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,2015-07-12,,52_Hz_I_Love_You,zh.wikipedia.org,all-access,spider,2015,7,6,Sunday,3,28
5566_zh.wikipedia.org_all-access_spider,2015-07-12,11.0,5566,zh.wikipedia.org,all-access,spider,2015,7,6,Sunday,3,28
91Days_zh.wikipedia.org_all-access_spider,2015-07-12,,91Days,zh.wikipedia.org,all-access,spider,2015,7,6,Sunday,3,28
A'N'D_zh.wikipedia.org_all-access_spider,2015-07-12,23.0,A'N'D,zh.wikipedia.org,all-access,spider,2015,7,6,Sunday,3,28
AKB48_zh.wikipedia.org_all-access_spider,2015-07-12,16.0,AKB48,zh.wikipedia.org,all-access,spider,2015,7,6,Sunday,3,28
2NE1_zh.wikipedia.org_all-access_spider,2015-07-13,14.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,0,Monday,3,29
2PM_zh.wikipedia.org_all-access_spider,2015-07-13,57.0,2PM,zh.wikipedia.org,all-access,spider,2015,7,0,Monday,3,29
3C_zh.wikipedia.org_all-access_spider,2015-07-13,1.0,3C,zh.wikipedia.org,all-access,spider,2015,7,0,Monday,3,29
4minute_zh.wikipedia.org_all-access_spider,2015-07-13,23.0,4minute,zh.wikipedia.org,all-access,spider,2015,7,0,Monday,3,29
52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,2015-07-13,,52_Hz_I_Love_You,zh.wikipedia.org,all-access,spider,2015,7,0,Monday,3,29
5566_zh.wikipedia.org_all-access_spider,2015-07-13,7.0,5566,zh.wikipedia.org,all-access,spider,2015,7,0,Monday,3,29
91Days_zh.wikipedia.org_all-access_spider,2015-07-13,,91Days,zh.wikipedia.org,all-access,spider,2015,7,0,Monday,3,29
A'N'D_zh.wikipedia.org_all-access_spider,2015-07-13,47.0,A'N'D,zh.wikipedia.org,all-access,spider,2015,7,0,Monday,3,29
AKB48_zh.wikipedia.org_all-access_spider,2015-07-13,18.0,AKB48,zh.wikipedia.org,all-access,spider,2015,7,0,Monday,3,29
2NE1_zh.wikipedia.org_all-access_spider,2015-07-14,15.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,1,Tuesday,3,29
2PM_zh.wikipedia.org_all-access_spider,2015-07-14,38.0,2PM,zh.wikipedia.org,all-access,spider,2015,7,1,Tuesday,3,29
3C_zh.wikipedia.org_all-access_spider,2015-07-14,6.0,3C,zh.wikipedia.org,all-access,spider,2015,7,1,Tuesday,3,29
4minute_zh.wikipedia.org_all-access_spider,2015-07-14,145.0,4minute,zh.wikipedia.org,all-access,spider,2015,7,1,Tuesday,3,29
52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,2015-07-14,,52_Hz_I_Love_You,zh.wikipedia.org,all-access,spider,2015,7,1,Tuesday,3,29
5566_zh.wikipedia.org_all-access_spider,2015-07-14,9.0,5566,zh.wikipedia.org,all-access,spider,2015,7,1,Tuesday,3,29
91Days_zh.wikipedia.org_all-access_spider,2015-07-14,,91Days,zh.wikipedia.org,all-access,spider,2015,7,1,Tuesday,3,29
A'N'D_zh.wikipedia.org_all-access_spider,2015-07-14,33.0,A'N'D,zh.wikipedia.org,all-access,spider,2015,7,1,Tuesday,3,29
AKB48_zh.wikipedia.org_all-access_spider,2015-07-14,12.0,AKB48,zh.wikipedia.org,all-access,spider,2015,7,1,Tuesday,3,29
2NE1_zh.wikipedia.org_all-access_spider,2015-07-15,8.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,29
2PM_zh.wikipedia.org_all-access_spider,2015-07-15,20.0,2PM,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,29
3C_zh.wikipedia.org_all-access_spider,2015-07-15,8.0,3C,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,29
4minute_zh.wikipedia.org_all-access_spider,2015-07-15,14.0,4minute,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,29
52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,2015-07-15,,52_Hz_I_Love_You,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,29
5566_zh.wikipedia.org_all-access_spider,2015-07-15,6.0,5566,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,29
91Days_zh.wikipedia.org_all-access_spider,2015-07-15,,91Days,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,29
A'N'D_zh.wikipedia.org_all-access_spider,2015-07-15,47.0,A'N'D,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,29
AKB48_zh.wikipedia.org_all-access_spider,2015-07-15,14.0,AKB48,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,29
2NE1_zh.wikipedia.org_all-access_spider,2015-07-16,16.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,3,Thursday,3,29
2PM_zh.wikipedia.org_all-access_spider,2015-07-16,62.0,2PM,zh.wikipedia.org,all-access,spider,2015,7,3,Thursday,3,29
3C_zh.wikipedia.org_all-access_spider,2015-07-16,6.0,3C,zh.wikipedia.org,all-access,spider,2015,7,3,Thursday,3,29
4minute_zh.wikipedia.org_all-access_spider,2015-07-16,17.0,4minute,zh.wikipedia.org,all-access,spider,2015,7,3,Thursday,3,29
52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,2015-07-16,,52_Hz_I_Love_You,zh.wikipedia.org,all-access,spider,2015,7,3,Thursday,3,29
5566_zh.wikipedia.org_all-access_spider,2015-07-16,10.0,5566,zh.wikipedia.org,all-access,spider,2015,7,3,Thursday,3,29
91Days_zh.wikipedia.org_all-access_spider,2015-07-16,,91Days,zh.wikipedia.org,all-access,spider,2015,7,3,Thursday,3,29
A'N'D_zh.wikipedia.org_all-access_spider,2015-07-16,58.0,A'N'D,zh.wikipedia.org,all-access,spider,2015,7,3,Thursday,3,29
AKB48_zh.wikipedia.org_all-access_spider,2015-07-16,14.0,AKB48,zh.wikipedia.org,all-access,spider,2015,7,3,Thursday,3,29
2NE1_zh.wikipedia.org_all-access_spider,2015-07-17,8.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,4,Friday,3,29
2PM_zh.wikipedia.org_all-access_spider,2015-07-17,44.0,2PM,zh.wikipedia.org,all-access,spider,2015,7,4,Friday,3,29
3C_zh.wikipedia.org_all-access_spider,2015-07-17,4.0,3C,zh.wikipedia.org,all-access,spider,2015,7,4,Friday,3,29
4minute_zh.wikipedia.org_all-access_spider,2015-07-17,85.0,4minute,zh.wikipedia.org,all-access,spider,2015,7,4,Friday,3,29
52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,2015-07-17,,52_Hz_I_Love_You,zh.wikipedia.org,all-access,spider,2015,7,4,Friday,3,29
5566_zh.wikipedia.org_all-access_spider,2015-07-17,8.0,5566,zh.wikipedia.org,all-access,spider,2015,7,4,Friday,3,29
91Days_zh.wikipedia.org_all-access_spider,2015-07-17,,91Days,zh.wikipedia.org,all-access,spider,2015,7,4,Friday,3,29
A'N'D_zh.wikipedia.org_all-access_spider,2015-07-17,29.0,A'N'D,zh.wikipedia.org,all-access,spider,2015,7,4,Friday,3,29
AKB48_zh.wikipedia.org_all-access_spider,2015-07-17,7.0,AKB48,zh.wikipedia.org,all-access,spider,2015,7,4,Friday,3,29
2NE1_zh.wikipedia.org_all-access_spider,2015-07-18,8.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,5,Saturday,3,29
2PM_zh.wikipedia.org_all-access_spider,2015-07-18,15.0,2PM,zh.wikipedia.org,all-access,spider,2015,7,5,Saturday,3,29
3C_zh.wikipedia.org_all-access_spider,2015-07-18,5.0,3C,zh.wikipedia.org,all-access,spider,2015,7,5,Saturday,3,29
4minute_zh.wikipedia.org_all-access_spider,2015-07-18,4.0,4minute,zh.wikipedia.org,all-access,spider,2015,7,5,Saturday,3,29
52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,2015-07-18,,52_Hz_I_Love_You,zh.wikipedia.org,all-access,spider,2015,7,5,Saturday,3,29
5566_zh.wikipedia.org_all-access_spider,2015-07-18,13.0,5566,zh.wikipedia.org,all-access,spider,2015,7,5,Saturday,3,29
91Days_zh.wikipedia.org_all-access_spider,2015-07-18,,91Days,zh.wikipedia.org,all-access,spider,2015,7,5,Saturday,3,29
A'N'D_zh.wikipedia.org_all-access_spider,2015-07-18,187.0,A'N'D,zh.wikipedia.org,all-access,spider,2015,7,5,Saturday,3,29
AKB48_zh.wikipedia.org_all-access_spider,2015-07-18,7.0,AKB48,zh.wikipedia.org,all-access,spider,2015,7,5,Saturday,3,29
2NE1_zh.wikipedia.org_all-access_spider,2015-07-19,16.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,6,Sunday,3,29
2PM_zh.wikipedia.org_all-access_spider,2015-07-19,10.0,2PM,zh.wikipedia.org,all-access,spider,2015,7,6,Sunday,3,29
3C_zh.wikipedia.org_all-access_spider,2015-07-19,1.0,3C,zh.wikipedia.org,all-access,spider,2015,7,6,Sunday,3,29
4minute_zh.wikipedia.org_all-access_spider,2015-07-19,30.0,4minute,zh.wikipedia.org,all-access,spider,2015,7,6,Sunday,3,29
52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,2015-07-19,,52_Hz_I_Love_You,zh.wikipedia.org,all-access,spider,2015,7,6,Sunday,3,29
5566_zh.wikipedia.org_all-access_spider,2015-07-19,3.0,5566,zh.wikipedia.org,all-access,spider,2015,7,6,Sunday,3,29
91Days_zh.wikipedia.org_all-access_spider,2015-07-19,,91Days,zh.wikipedia.org,all-access,spider,2015,7,6,Sunday,3,29
A'N'D_zh.wikipedia.org_all-access_spider,2015-07-19,128.0,A'N'D,zh.wikipedia.org,all-access,spider,2015,7,6,Sunday,3,29
AKB48_zh.wikipedia.org_all-access_spider,2015-07-19,20.0,AKB48,zh.wikipedia.org,all-access,spider,2015,7,6,Sunday,3,29
2NE1_zh.wikipedia.org_all-access_spider,2015-07-20,7.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,0,Monday,3,30
2PM_zh.wikipedia.org_all-access_spider,2015-07-20,47.0,2PM,zh.wikipedia.org,all-access,spider,2015,7,0,Monday,3,30
3C_zh.wikipedia.org_all-access_spider,2015-07-20,2.0,3C,zh.wikipedia.org,all-access,spider,2015,7,0,Monday,3,30
4minute_zh.wikipedia.org_all-access_spider,2015-07-20,22.0,4minute,zh.wikipedia.org,all-access,spider,2015,7,0,Monday,3,30
52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,2015-07-20,,52_Hz_I_Love_You,zh.wikipedia.org,all-access,spider,2015,7,0,Monday,3,30
5566_zh.wikipedia.org_all-access_spider,2015-07-20,14.0,5566,zh.wikipedia.org,all-access,spider,2015,7,0,Monday,3,30
91Days_zh.wikipedia.org_all-access_spider,2015-07-20,,91Days,zh.wikipedia.org,all-access,spider,2015,7,0,Monday,3,30
A'N'D_zh.wikipedia.org_all-access_spider,2015-07-20,34.0,A'N'D,zh.wikipedia.org,all-access,spider,2015,7,0,Monday,3,30
AKB48_zh.wikipedia.org_all-access_spider,2015-07-20,82.0,AKB48,zh.wikipedia.org,all-access,spider,2015,7,0,Monday,3,30
2NE1_zh.wikipedia.org_all-access_spider,2015-07-21,11.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,1,Tuesday,3,30
2PM_zh.wikipedia.org_all-access_spider,2015-07-21,24.0,2PM,zh.wikipedia.org,all-access,spider,2015,7,1,Tuesday,3,30
3C_zh.wikipedia.org_all-access_spider,2015-07-21,3.0,3C,zh.wikipedia.org,all-access,spider,2015,7,1,Tuesday,3,30
4minute_zh.wikipedia.org_all-access_spider,2015-07-21,9.0,4minute,zh.wikipedia.org,all-access,spider,2015,7,1,Tuesday,3,30
52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,2015-07-21,,52_Hz_I_Love_You,zh.wikipedia.org,all-access,spider,2015,7,1,Tuesday,3,30
5566_zh.wikipedia.org_all-access_spider,2015-07-21,4.0,5566,zh.wikipedia.org,all-access,spider,2015,7,1,Tuesday,3,30
91Days_zh.wikipedia.org_all-access_spider,2015-07-21,,91Days,zh.wikipedia.org,all-access,spider,2015,7,1,Tuesday,3,30
A'N'D_zh.wikipedia.org_all-access_spider,2015-07-21,38.0,A'N'D,zh.wikipedia.org,all-access,spider,2015,7,1,Tuesday,3,30
AKB48_zh.wikipedia.org_all-access_spider,2015-07-21,8.0,AKB48,zh.wikipedia.org,all-access,spider,2015,7,1,Tuesday,3,30
2NE1_zh.wikipedia.org_all-access_spider,2015-07-22,10.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,30
